metric_id,group_dimension,group_value,variant,source_n,synthetic_n,reference_value,value,delta,unit,support_status
M2-COND-01,household_size_class,1,D_MATCH_FULLDAY_V1,402,29225,0.8380008519167945,0.813857998289136,-0.024142853627658556,share,OK
M2-COND-01,household_size_class,2,D_REPLAY_EXACT_V1,921,28825,0.8755686612249808,0.8758022549869905,0.0002335937620097095,share,OK
M2-COND-01,household_size_class,2,D_MATCH_FULLDAY_V1,921,33260,0.8755686612249808,0.8366806975345761,-0.0388879636904047,share,OK
M2-COND-01,household_size_class,3,D_REPLAY_EXACT_V1,356,14228,0.9133401201843253,0.9174163621028957,0.004076241918570367,share,OK
M2-COND-01,household_size_class,3,D_MATCH_FULLDAY_V1,356,17169,0.9133401201843253,0.8670860271419418,-0.04625409304238348,share,OK
M2-COND-01,household_size_class,4,D_REPLAY_EXACT_V1,376,11221,0.9357162935656282,0.9361019516977096,0.0003856581320813568,share,OK
M2-COND-01,household_size_class,4,D_MATCH_FULLDAY_V1,376,14356,0.9357162935656282,0.9089579269991641,-0.02675836656646413,share,OK
M2-COND-01,household_size_class,5,D_REPLAY_EXACT_V1,99,4822,0.7983163114848656,0.7897138116963915,-0.00860249978847405,share,OK
M2-COND-01,household_size_class,5,D_MATCH_FULLDAY_V1,99,5990,0.7983163114848656,0.8141903171953255,0.015874005710459937,share,OK
M2-COND-02,household_size_class,1,D_REPLAY_EXACT_V1,380,26639,3.1967880012000647,3.3965614324862043,0.19977343128613967,trips/person-day,OK
M2-COND-02,household_size_class,1,D_MATCH_FULLDAY_V1,380,29225,3.1967880012000647,2.9209580838323355,-0.2758299173677292,trips/person-day,OK
M2-COND-02,household_size_class,2,D_REPLAY_EXACT_V1,878,27484,3.0485288391931893,3.0827390481734827,0.034210208980293366,trips/person-day,OK
M2-COND-02,household_size_class,2,D_MATCH_FULLDAY_V1,878,33260,3.0485288391931893,2.7518340348767287,-0.29669480431646056,trips/person-day,OK
M2-COND-02,household_size_class,3,D_REPLAY_EXACT_V1,340,13556,3.324767981951018,3.390823251696666,0.06605526974564802,trips/person-day,OK
M2-COND-02,household_size_class,3,D_MATCH_FULLDAY_V1,340,17169,3.324767981951018,3.0404799347661484,-0.28428804718486944,trips/person-day,OK
M2-COND-02,household_size_class,4,D_REPLAY_EXACT_V1,357,10574,3.642595367778496,3.5812369964062793,-0.06135837137221678,trips/person-day,OK
M2-COND-02,household_size_class,4,D_MATCH_FULLDAY_V1,357,14356,3.642595367778496,3.367093898021733,-0.27550146975676304,trips/person-day,OK
M2-COND-02,household_size_class,5,D_REPLAY_EXACT_V1,97,4620,2.17886843971625,2.4404761904761907,0.2616077507599406,trips/person-day,OK
M2-COND-02,household_size_class,5,D_MATCH_FULLDAY_V1,97,5990,2.17886843971625,2.35008347245409,0.1712150327378401,trips/person-day,OK
